Name,Share Price (CAD),Volume,Market Capitalization (CAD),Industry
CANFOR PULP PRODUCTS INC,0.97,14.201K,53.492M,Process industries
SCOPE AI CORP.,2.2,30.248K,90.744M,Technology services
MEDICUS PHARMA LTD,2.31,5.3K,37.798M,Health technology
BRIACELL THERAPEUTICS CORP,1.07,11.471K,18.102M,Health technology
KRAKEN ROBOTICS INC,1.54,1.709M,329.089M,Electronic technology
SILVER CROWN ROYALTIES INC.,7.9,1.5K,19.567M,Non-energy minerals
PLANET 13 HOLDINGS INC.,0.91,175.978K,282.893M,Process industries
BADGER INFRASTRUCTURE SOLUTIONS LTD,37.72,67.849K,1.244B,Industrial services
HELIX BIOPHARMA CORP,1.15,6.756K,53.924M,Health technology
KNEAT COM INC,4.75,20.094K,390.149M,Technology services
EVERGEN INFRASTRUCTURE CORP,2.19,5.85K,29.384M,Commercial services
BEYOND OIL LTD.,1.55,85.831K,83.412M,Technology services
PIVOTREE INC,1.06,2.37K,26.893M,Technology services
OPTIVA INC,4.78,200,28.43M,Technology services
BIOSYENT INC,10.28,3.975K,116.91M,Health technology
PYROGENESIS CANADA INC,0.84,22.266K,148.263M,Industrial services
BOREALIS MINING COMPANY LIMITED,0.86,112.31K,69.073M,Non-energy minerals
"ASCEND WELLNESS HOLDINGS, INC.",1.16,20.35K,326.512M,Process industries
THINKIFIC LABS INC,3.22,2.51K,212.094M,Technology services
ASANTE GOLD CORPORATION,1.19,184.605K,512.193M,Non-energy minerals
COVALON TECHNOLOGIES LTD,3.1,83.933K,74.015M,Health technology
GOLDMONEY INC,8.84,30.992K,113.048M,Finance
FIREWEED METALS CORP,1.32,119.094K,230.858M,Non-energy minerals
BETTERMOO(D) FOOD CORPORATION,1.01,3.65K,8.383M,Consumer non-durables
BMTC GROUP INC,13.6,1.1K,428.726M,Retail trade
IM CANNABIS CORP.,3.97,681,8.617M,Health technology
SANGOMA TECHNOLOGIES CORPORATION,7.4,4.057K,239.997M,Electronic technology
WESTERN EXPLORATION INC,1.11,19.761K,38.31M,Non-energy minerals
CIPHER PHARMACEUTICALS INC,16.36,66.215K,407.882M,Health technology
ITAFOS INC,1.62,79.165K,303.348M,Process industries
OSISKO DEVELOPMENT CORP,3.06,5.633K,251.599M,Non-energy minerals
KIWETINOHK ENERGY CORP,14.5,6.15K,618.782M,Utilities
WAJAX CORP,24.91,26.985K,526.011M,Distribution services
PINE CLIFF ENERGY LTD,0.94,25.755K,329.266M,Energy minerals
BUHLER INDUSTRIES INC,2.45,4.8K,61M,Producer manufacturing
TORNADO GLOBAL HYDROVACS LTD,0.99,34.866K,133.429M,Consumer durables
PULSE SEISMIC INC,2.48,2.575K,124.523M,Industrial services
SOFTCHOICE CORPORATION,19.28,16.423K,1.14B,Technology services
QUIPT HOME MEDICAL CORP,3.74,30.762K,156.237M,Health services
IMPERIAL METALS CORPORATION,2.21,1.212K,351.261M,Non-energy minerals
TEUTON RESOURCES CORP,1.11,4.85K,62.944M,Non-energy minerals
MARIMACA COPPER CORP,3.98,6.751K,394.876M,Non-energy minerals
GDI INTEGRATED FAC SVCS INC,37,3.343K,853.483M,Commercial services
D2L INC,12.82,1.875K,685.983M,Technology services
SECURE ENERGY SERVICES INC,12.04,367.488K,2.855B,Industrial services
GREENPOWER MTR CO INC,1.24,408,32.319M,Consumer durables
JOURNEY ENERGY INC,2.54,99.487K,153.375M,Energy minerals
TWC ENTERPRISES LTD,17.61,300,425.575M,Consumer services
DEFI TECHNOLOGIES INC.,2.62,412.187K,768.18M,Finance
BQE WTR INC,66.5,203,83.693M,Commercial services
DUNDEE CORPORATION,1.44,39.961K,126.825M,Finance
TITANIUM TRANSN GROUP INC,2.18,3.423K,96.101M,Transportation
GENESIS LAND DEVELOPMENT CORP,3.7,12.056K,207.267M,Consumer durables
SINTANA ENERGY INC,1.12,69.525K,411.943M,Non-energy minerals
ILLUMIN HOLDINGS INC,1.5,42.177K,75.318M,Technology services
MDA SPACE LTD,15,613.057K,1.778B,Electronic technology
RUPERT RESOURCES,3.97,33.004K,839.683M,Non-energy minerals
GAMEHOST INC,10.5,5.9K,219.575M,Consumer services
ALTIUS RENEWABLE ROYALTIES CORP,9.08,6.068K,276.165M,Utilities
COLLIERS INTL GROUP INC,193.95,44.277K,9.625B,Finance
LASSONDE INDUSTRIES INC,170,660,1.146B,Consumer non-durables
K BRO LINEN INC,37.44,7.517K,387.268M,Commercial services
LI-FT POWER LTD,2.63,15.245K,108.221M,Non-energy minerals
CREW ENERGY INC,7.05,489.184K,1.096B,Energy minerals
LOGAN ENERGY CORP,0.9,184.315K,351.112M,Energy minerals
GIVEX CORP,0.95,7.5K,120.175M,Finance
CINEPLEX INC,10.54,324.193K,664.227M,Consumer services
REAL MATTERS INC,7.6,19.2K,552.983M,Finance
ALVOPETRO ENERGY LTD,5.11,12.169K,185.297M,Energy minerals
VITREOUS GLASS INC,5.15,300,32.314M,Process industries
TOURMALINE OIL CORP,62.27,537.531K,21.734B,Energy minerals
RECONNAISSANCE ENERGY AFRICA LTD,1.04,95.461K,234.594M,Energy minerals
MEG ENERGY CORP,27.18,546.965K,7.255B,Energy minerals
LEON'S FURNITURE,29.3,23.033K,1.979B,Retail trade
MATTR CORP,14.94,90.64K,980.25M,Process industries
NORTH AMERICAN CONSTRUCTION GRP LTD,25.74,9.239K,709.596M,Non-energy minerals
ARIZONA SONORAN COPPER CO INC,1.62,131.758K,175.136M,Non-energy minerals
KOLIBRI GLOBAL ENERGY INC,4.32,710,152.478M,Energy minerals
BLACKLINE SAFETY CORP,4.73,16.303K,372.468M,Electronic technology
FIRAN TECHNOLOGY GROUP CORPORATION,5.95,14.202K,140.861M,Electronic technology
CAE INC,24.16,279.002K,7.627B,Commercial services
PEMBINA PIPELINE CORPORATION,53.44,448.874K,30.715B,Industrial services
RB GLOBAL INC,115.27,57.155K,21.066B,Technology services
KELT EXPLORATION LTD,6.19,129.451K,1.203B,Energy minerals
TVA GROUP INC,1.24,100,52.927M,Consumer services
VELAN INC,6.25,800,133.831M,Producer manufacturing
TENAZ ENERGY CORP,8.16,28.461K,220.333M,Energy minerals
TC ENERGY CORPORATION,60.49,747.039K,62.26B,Industrial services
TECSYS INC,43.55,1.04K,639.209M,Commercial services
ONCOLYTICS BIOTECH INC,1.3,3.9K,99.312M,Health technology
SURGE ENERGY INC,6.65,231.169K,662.1M,Energy minerals
ECOSYNTHETIX INC,4.08,840,238.092M,Process industries
ENTERPRISE GROUP INC,1.39,87.386K,81.708M,Finance
OROGEN ROYALTIES INC,1.41,46.447K,282.111M,Consumer durables
PREMIER AMERICAN URANIUM INC NEW,1.41,26.1K,54.419M,Non-energy minerals
AKITA DRILLING LTD,1.41,2.234K,56.703M,Industrial services
ENTREE RESOURCES LTD,1.47,4.921K,296.951M,Non-energy minerals
VERTICALSCOPE HLDGS INC,8.85,36.296K,189.691M,Technology services
ARCH BIOPARTNERS INC,1.48,600,95.036M,Health technology
FARADAY COPPER CORP,0.81,23.475K,165.295M,Non-energy minerals
